#,Business,Ask for,Phone,Area,Trade,Google rating,Demo page,What the demo leads with (your hook),Before you call,Called?,Result,Follow up
1,O'Mara Constructions,Luke,0419 979 804,"Mulgrave, NSW",builders,5.0 (2),/omara-constructions/,"Any block, any design, since 1964. Opener: ""I noticed your dad's OAM, 60 years of MBA membership and eight Olympic Village homes are buried halfway down a Comic Sans page — and your best twilight photos are thumbnails.""",,,,
2,Sunset Pools,Ben,1300 000 412,"Rydalmere, NSW",pools,4.7 (25),/sunset-pools/,"The pool other builders call too hard (rooftops, 132 steps, cranes). Ben says it himself, buried on an inside page.",1300 number. Their live site sits behind a Cloudflare check that may block customers.,,,
3,Arizona Roofing Canberra,Oscar,0421 149 431,"Franklin, ACT",roofing,5.0 (20),/arizona-roofing/,"Oscar quotes it himself, photos what's wrong, then does the job he quoted. 20 out of 20 reviews are 5 stars.",Their site is a bought theme with the demo content still in it: strong call material. Uses some sample photos.,,,
4,AB Roof Tiling,Tony,0417 207 668,"North Narrabeen, Northern Beaches, Sydney",roofing,4.8 (16),/ab-roof-tiling/,"Your whole roof, done in a day, by Tony's own crew. Since 1981.",,,,
5,Northern Beaches Earthmoving,Jim,0422 929 660,"Manly, NSW",landscaping,5.0 (14),/nb-earthmoving/,"The hard sites other contractors hand off. Jim does them himself (rock, tight access, hand digging).",,,,
6,Greenway Landscapes,Trent,0418 607 124,"Castle Hill, NSW",landscaping,5.0 (16),/greenway-landscapes/,"Every trade a yard needs, one contractor: decks, stone, drainage, turf. Since 1987.",,,,
7,South Coast Landscapes,Ryan,0402 130 046,"Dapto, NSW",landscaping,4.8 (24),/south-coast-landscapes/,The crew that finishes what the builder started: dirt mounds into a finished yard.,Opener: their 'Our Work' band on the home page shows code instead of photos.,,,
8,Karanda Interiors,Toni,(02) 9525 8053,"Sylvania Heights, NSW",kitchens joinery,5.0 (15),/karanda-interiors/,40 years of Toni Ford's own eye on every job. She's a Counselor with the Design Institute of Australia.,Landline.,,,
9,Lower Mountains Air Conditioning,Andrew,(02) 4735 6411,"Emu Plains, NSW",air conditioning,4.8 (331),/lmac/,"331 Google reviews at 4.8, same family, same Emu Plains shop since 1988.",Landline. Uses some sample photos.,,,
10,Dimension Gardenscape,Trevor,02 6297 9040,"Queanbeyan, NSW",landscaping,4.5 (54),/dimension-gardenscape/,"A qualified horticulture view, not just a build crew. Trevor went greenkeeper, then Parliament House turf, then design.",Landline.,,,
11,DP Landscaping & Design,Dale,0402 469 118,"Falls Creek, NSW",landscaping,5.0 (10),/dp-landscaping/,The gardener Shoalhaven clients keep for years (reviews say 10 and 15 years).,Uses sample photos.,,,
12,Great Southern Pools,David,0413 513 572,"Greater Sydney, NSW",pools,4.7 (12),/great-southern-pools/,"The Moore family, 30 years of Sydney pools: David, Dianne and Michael still on the tools.",Uses sample photos. No ABN or licence shown on their site.,,,
13,Utopian Landscaping and Paving Solutions,Derek,0423 814 300,"Canberra, ACT",landscaping,5.0 (25),/utopian-landscaping/,"No plan needed, just an idea. They work out how to build it ('Only limited by your imagination').",,,,
14,First Point Air Conditioning,Brad,02 6100 2247,"Fyshwick, ACT",air conditioning,see Google,/first-point-air-conditioning/,(Your direct brief.) Brad named in lots of reviews.,Uses some sample photos.,,,
15,Nulook Pools,John,0411 055 329,"Canberra, ACT",pools,5.0 (35),/nulook-pools/,"From council approval to first swim, John and Charissa handle all of it. 5.0 from 35 reviews.",6 sample photos: ask for photos of his own pools.,,,
16,CJG Pools & Earthworks,Craig,0413 997 889,"Calwell, ACT",pools,5.0 (1),/cjg-pools/,"Pools, and the earthworks behind them. One crew digs, builds, drains and paves. Opener: their best work is buried in two old blog posts.",Only 1 Google review. 2 sample photos.,,,
17,ACT Landscape Construction,Xavier,02 5110 3917,"Fyshwick, ACT",landscaping,4.3 (10),/act-landscape-construction/,"Pool, court, deck and garden from one team. Their Jerrabomberra job won a 2025 Master Builders award (shared with ACT Decks).",Office landline. Read the 1-star Googong review on Google before calling.,,,
18,BNS Landscapes,Peter,02 9542 8900,"Caringbah, NSW",landscaping,4.2 (9),/bns-landscapes/,"One family, 45+ years: landscaping, and canal seawalls with their own gear.","Office landline. A 'called twice, no reply' review is a speed-to-lead pitch.",,,
19,S&I Constructions,Jason,(02) 4871 1607,"Mittagong, NSW",builders,4.2 (5),/si-constructions/,"The apprentice who now owns it: Jason started in 1991, 45 years of Highlands homes, still on the tools.",Office landline. 1 sample photo.,,,
20,ProStyle Building Group,Josh,(02) 6282 0770,"Phillip, ACT",builders,3.5 (19),/prostyle-building/,"Google says Prostyle Homes, their site still says ProStyle Building Group. Reviews all praise Josh and Craig for communication.","Real number is (02) 6282 0770, not the one on the old list. Check ASIC first (company changed in 2024) and read the low Google reviews (3.5).",,,
21,Pinczi Builders,Steve,0411 540 495,"Bowral, NSW",builders,none,/pinczi-builders/,"""Ask anyone in the Highlands about Steve"", but Google has no reviews at all, and his home page doesn't show his number.",No Google reviews yet: that's the pitch.,,,
22,Meyers Building Group,Darren,0407 917 649,"Bowral, NSW",builders,none,/meyers-building/,"80% of their work is repeat clients and referrals, but Google shows no reviews and the site never says Bowral.","No Google reviews. 4 sample photos. Darren's name comes from company records, so check it's him.",,,
